,Accepted energy,Accepted uncertainty,Measured energy,Measured uncertainty,Nuclide,Height
0,511.0,0.0,510.8474043655063,0.3959624504791669,Pair production,274.7474406238382
1,1810.726,0.004,1805.645796480267,3.333359428614083,$\isotope[56][25]{Mn}$,28.49999999998876
2,511.0,0.0,510.8474043655063,0.3959624504791669,$\isotope[58][27]{Co}$,274.7474406238382
3,511.0,0.0,510.8474043655063,0.3959624504791669,$\isotope[64][29]{Cu}$,274.7474406238382
4,511.0,0.0,510.8474043655063,0.3959624504791669,$\isotope[65][30]{Zn}$,274.7474406238382
5,511.0,0.0,510.8474043655063,0.3959624504791669,$\isotope[68][31]{Ga}$,274.7474406238382
6,777.921,0.02,778.0021128322519,0.229343495957662,$\isotope[99/43][42]{Mo}$,479.0064113915852
7,294.98,0.02,295.2235694381995,0.19205523214293807,$\isotope[103][44]{Ru}$,167.97950267384581
8,443.8,0.02,443.89007683562517,0.1737948911185358,$\isotope[103][44]{Ru}$,247.69340812891483
9,661.6569999999999,0.003,661.2929845837842,0.20908977935971151,$\isotope[137][55]{Cs}$,37016.81611146509
10,80.9979,0.0011,80.99468620969172,0.1075449234819832,$\isotope[133][56]{Ba}$,1091.1053648211218
11,276.3989,0.0012,276.3758524463468,0.196483448594184,$\isotope[133][56]{Ba}$,251.36999600519587
12,302.8508,0.0005,302.8454176768008,0.15470382414337147,$\isotope[133][56]{Ba}$,461.96913582112
13,356.0129,0.0007,355.96200782290765,0.17424287532051988,$\isotope[133][56]{Ba}$,1173.1466586017834
14,383.8485,0.0012,383.7445070274536,0.17865892062807912,$\isotope[133][56]{Ba}$,139.79062010132776
15,121.7817,0.0003,121.7919606940942,0.11730570059699133,$\isotope[152][63]{Eu}$,9968.3170481415
16,244.6974,0.0008,244.66957910959624,0.14389963630844352,$\isotope[152][63]{Eu}$,1403.7557010736014
17,344.2785,0.0012,344.2202239260181,0.16141193753987426,$\isotope[152][63]{Eu}$,3373.4086607908393
18,411.1165,0.0012,410.9395840007901,0.2029352336703724,$\isotope[152][63]{Eu}$,215.79663612626393
19,443.965,0.003,443.89007683562517,0.1737948911185358,$\isotope[152][63]{Eu}$,247.69340812891483
20,123.0706,0.0009,123.11142211317396,0.11103716124526866,$\isotope[154][63]{Eu}$,296.23581445889704
21,410.95599999999996,0.003,410.9395840007901,0.2029352336703724,$\isotope[166m][67]{Ho}$,215.79663612626393
22,583.187,0.002,582.9688358867211,0.1758762233201949,$\isotope[208][81]{Tl}$,107.37471747960026
23,238.632,0.002,238.5665526300573,0.1509972703848136,$\isotope[212][82]{Pb}$,642.9464423342215
24,295.224,0.002,295.2235694381995,0.19205523214293807,$\isotope[214][82]{Pb}$,167.97950267384581
25,351.93199999999996,0.002,351.87596367499907,0.17398263072894346,$\isotope[214][82]{Pb}$,287.7163437117706
26,609.316,0.003,609.0118521619353,0.1951620342633384,$\isotope[214][83]{Bi}$,166.62539719842744
27,92.8,0.02,92.77901672110657,0.18411199954944008,$\isotope[234][90]{Th}$,488.86210269223363
28,92.8,0.02,92.85490951521903,0.12494188163909155,$\isotope[234][90]{Th}$,276.66707890723785
29,1001.025,0.022000000000000002,1000.7836177002832,0.2848907856591591,$\isotope[234m][91]{Pa}$,29.446461324259573
30,59.5409,0.0001,59.54079221418407,0.10293458246497628,$\isotope[241][95]{Am}$,11029.384123749423
31,59.5409,0.0001,59.54079221418407,0.10293458246497628,$\isotope[241][95]{Am}$,11029.384123749423
32,72.8049,0.0008,72.800916568758,0.12478751580640556,$\isotope[228][90]{Th}$ Pb K$\alpha$2,1822.0985569881054
33,72.805,0.0,72.800916568758,0.12478751580640556,$\isotope[207][83]{Bi}$ Pb K$\alpha$2,1822.0985569881054
34,72.8725,0.0008,72.800916568758,0.12478751580640556,$\isotope[203][80]{Hg}$ Tl K$\alpha$1,1822.0985569881054
35,74.97,0.0,74.96455930901456,0.11246911567457328,$\isotope[207][83]{Bi}$ Pb K$\alpha$1,3545.8885350479054
36,74.97,0.0009,74.96455930901456,0.11246911567457328,$\isotope[228][90]{Th}$ Pb K$\alpha$1,3545.8885350479054
37,77.1088,0.001,77.12508154738056,0.12963142100471473,$\isotope[228][90]{Th}$ Bi K$\alpha$1,422.8547669393476
38,59.4819,0.3226,59.54079221418407,0.10293458246497628,$\isotope[170][69]{Tm}$ Yb K$\beta$'1,11029.384123749423
39,84.9605,0.5095,84.81494241680564,0.17451058081630794,$\isotope[207][83]{Bi}$ Pb K$\beta$'1,1404.3452040735967
40,84.9605,0.5095,84.81494241680564,0.17451058081630794,$\isotope[228][90]{Th}$ Pb K$\beta$'1,1404.3452040735967
41,87.3485,0.5135,87.31806218000719,0.14703646420878622,$\isotope[228][90]{Th}$ Bi K$\beta$'1,525.1177147227882
42,87.6205,0.3825,87.31806218000719,0.14703646420878622,$\isotope[207][83]{Bi}$ Pb K$\beta$'2,525.1177147227882
43,87.6205,0.3825,87.31806218000719,0.14703646420878622,$\isotope[228][90]{Th}$ Pb K$\beta$'2,525.1177147227882
44,74.96,0.1,74.96455930901456,0.11246911567457328,$\isotope[235 ][92]{U}$,3545.8885350479054
45,129.296,0.001,129.32411798282246,0.13444231592407427,$\isotope[235 ][92]{U}$,510.01702861326464
46,302.87,0.05,302.8454176768008,0.15470382414337147,$\isotope[235 ][92]{U}$,461.96913582112
47,411.2,0.3,410.9395840007901,0.2029352336703724,$\isotope[235 ][92]{U}$,215.79663612626393
48,582.89,0.1,582.9688358867211,0.1758762233201949,$\isotope[235 ][92]{U}$,107.37471747960026
49,608.9,0.2,609.0118521619353,0.1951620342633384,$\isotope[235 ][92]{U}$,166.62539719842744
50,1001.03,0.03,1000.7836177002832,0.2848907856591591,$\isotope[234 ][92]{U}$,29.446461324259573
51,77.01,0.04,77.12508154738056,0.12963142100471473,$\isotope[237 ][92]{U}$,422.8547669393476
