Lower Bound,LowerIndex,Upper Bound,UpperIndex
9.788844682667667,34,11.205068250424338,39
45.477678590135774,160,47.46039158499511,167
57.373956559291805,202,60.77289312190781,214
61.905871976113154,218,63.888584970972495,225
71.53619223685853,252,73.80214994526919,260
73.80214994526919,260,76.3513523672312,269
76.06810765367987,268,78.05082064853922,275
80.03353364339854,282,82.29949135180922,290
82.58273606536055,291,85.98167262797656,303
85.98167262797656,303,88.81411976348991,313
91.36332218545192,322,93.62927989386259,330
97.31146117002993,343,99.86066359199194,352
119.97103825413667,423,123.65321953030401,436
128.18513494712533,452,130.1678479419847,459
184.55083294384085,651,187.10003536580285,660
236.66786023728633,835,240.06679679990233,847
243.46573336251836,859,246.01493578448037,868
293.60004766110455,1036,296.4324947966179,1046
301.24765492699055,1063,304.3633467760552,1074
337.21973354801,1190,339.4856912564207,1198
342.60138310548535,1209,345.71707495455,1220
350.24899037137135,1236,353.0814375068847,1246
354.49766107464137,1251,357.3301082101547,1261
410.01362493070286,1447,412.5628273526649,1456
442.5867669891063,1562,445.13596941106834,1571
507.73305110591315,1792,513.9644348040425,1814
581.0934319157087,2051,584.775613191876,2064
607.1519455624314,2143,610.8341268385988,2156
658.419238715223,2324,664.367377699801,2345
725.5482358268891,2561,728.3806829624025,2571
776.8155289796806,2742,780.7809549693993,2756
792.9604776521066,2799,796.6426589282739,2812
802.0243084857493,2831,804.29026619416,2839
859.5229853366702,3034,862.3554324721836,3044
865.4711243212482,3055,869.4365503109668,3069
908.8075654946023,3208,913.9059703385263,3226
961.4910822151505,3394,966.3062423455232,3411
966.5894870590745,3412,970.8381577623445,3427
1084.1360431828782,3827,1088.3847138861481,3842
1109.344822688947,3916,1114.1599828193196,3933
1118.1254088090384,3947,1122.6573242258596,3963
1236.8049437870473,4366,1239.6373909225606,4376
1404.4858142094372,4958,1411.2836873346691,4982
1456.0363520757799,5140,1465.383427622974,5173
1590.5775910126638,5615,1595.959240570139,5634
1727.6680323715095,6099,1731.6334583612281,6113
1762.5071321383236,6222,1767.3222922686962,6239
1846.6308120630697,6519,1849.463259198583,6529
2100.7013201186164,7416,2106.6494591031947,7437
2200.9699487157886,7770,2207.4845771274695,7793
2446.826360078347,8638,2450.225296640963,8650
2609.692070370364,9213,2619.888880058212,9249
2887.8383790777743,10195,2889.254602645531,10200
3270.5019870856268,11546,3272.7679447940372,11554
