Lower Bound,LowerIndex,Upper Bound,UpperIndex
100.94520189501006,157,103.77750650057365,169
110.85826801448268,199,114.87069953903111,216
122.1874864367371,247,125.25581642609768,260
125.25581642609768,260,127.38004488027038,269
127.14401949647342,268,129.26824795064613,277
129.5042733344431,278,132.57260332380366,291
132.57260332380366,291,135.40490792936725,303
135.40490792936725,303,138.47323791872782,316
139.4173394539157,320,142.2496440594793,332
114.87069953903111,216,118.17505491218866,230
163.2559032174094,421,167.74038550955177,440
169.86461396372448,449,172.69691856928807,461
216.83366533932093,648,219.90199532868155,661
260.97041210935384,835,263.80271671491744,847
266.1629705528871,857,269.23130054224765,870
308.17548886874727,1035,311.00779347431086,1047
314.54817423126536,1062,317.8525296044229,1076
344.75942335727717,1190,346.64762642765294,1198
348.53582949802865,1206,352.78428640637406,1224
355.61659101193766,1236,358.6849210012982,1249
358.6849210012982,1249,361.98927637445576,1263
404.9458962255038,1445,408.0142262148644,1458
432.32484074595203,1561,435.1571453515156,1573
486.1386282516605,1789,493.21938976556953,1819
547.977278806466,2051,552.6977864824054,2071
569.6916141157869,2143,573.2319948727414,2158
612.176183199241,2323,618.0768177941652,2348
710.8347936263733,2741,714.8472251509218,2758
732.0770781681003,2831,734.2013066222731,2840
784.4747133710271,3053,788.7231702793725,3071
821.058647859557,3208,825.3071047679024,3226
864.723343861996,3393,869.4438515379353,3413
869.2078261541384,3412,873.2202576786868,3429
966.4502842784889,3824,970.6987411868342,3842
987.6925688202159,3914,993.3571780313431,3938
994.301279566531,3942,999.9658887776582,3966
1092.9598899936632,4360,1098.3884738209936,4383
1233.8670441204526,4957,1241.6558817857526,4990
1276.3516132039067,5137,1285.7926285557855,5177
1388.9357212750601,5614,1392.9481527996086,5631
1503.6440578003862,6100,1507.1844385573406,6115
1531.7310784722254,6219,1537.6317130671496,6244
1898.0424741251184,7771,1903.4710579524487,7794
2238.1550521765485,9212,2246.887991377036,9249
1814.253462877195,7416,1818.5019197855404,7434
1385.6313659019027,5600,1388.2276451236692,5611
1210.028480356959,4856,1214.2769372653045,4874
970.2266904192403,3840,972.58694425721,3850
668.3502245429192,2561,670.710478380889,2571
144.37387251365203,341,146.97015173541865,352
725.2323420379884,2802,727.356570492161,2811
70.9699781527952,30,73.09420660696792,39
