Lower Bound,LowerIndex,Upper Bound,UpperIndex
45.15074674453012,270,47.48531210446241,284
58.824608433128375,352,60.325395041005486,361
71.99815911159932,431,73.49894042195436,440
74.16595414546302,444,75.8334879374998,454
76.50050124785199,458,77.83452751510553,466
80.16907235064967,480,81.66985041408005,489
83.83763990326386,502,86.00542815793925,515
86.17218104955988,516,88.67347355038117,531
62.65995077961967,375,63.99398197179737,383
89.34048460767787,535,90.67450637391187,543
91.67502239412003,549,93.34254851541084,559
94.00955876151467,563,95.17682641425041,570
97.0111034405457,581,99.51238889173136,596
120.68987480921768,723,122.69089121830673,735
122.69089121830673,735,123.69139904557659,741
128.36043225728392,769,130.0279427990121,779
184.88866171468442,1108,187.0563957810904,1121
237.41422505055155,1423,239.91542707208123,1438
243.4171076294467,1459,245.91830641047633,1474
275.2656064106826,1650,277.60004301789144,1664
294.10781305294176,1763,296.9424751078552,1780
301.778071389534,1809,303.7790064259705,1821
337.2945526697761,2022,339.2954740332955,2034
342.46359799674013,2053,345.63172009446714,2072
350.6340143678381,2102,352.9684167888018,2116
354.802589420676,2127,356.970247195426,2140
382.64859059680987,2294,385.3164637673056,2310
409.66075022175653,2456,412.82883497224856,2475
442.3419672373553,2652,445.510035360373,2671
507.8706499848355,3045,513.706508055652,3080
581.0686662508995,3484,585.5705730564652,3511
607.0796520279439,3640,612.2484929559647,3671
659.4348830696924,3954,664.7704331859679,3986
776.983197038924,4659,781.3182942027257,4685
865.0188409127425,5187,870.0208570965589,5217
909.203294925174,5452,913.538371178814,5478
961.0574615918653,5763,966.5596711521126,5796
966.5596711521126,5796,970.8947453394278,5822
1002.5741356653979,6012,1006.4090097428019,6035
1081.9394111927097,6488,1087.9418338016371,6524
1088.608769725167,6528,1091.6099815796067,6546
1108.4501211286097,6647,1115.286220678617,6688
1117.7872332151417,6703,1120.7884486269024,6721
1209.9914618702187,7256,1215.8271906691623,7291
1272.3505311078177,7630,1275.6852499591625,7650
1297.1942114611745,7779,1301.3626199965265,7804
1374.8936491839256,8245,1381.396422998878,8284
1403.7393269690058,8418,1412.7432018797015,8472
1454.928169464267,8725,1465.9329850615475,8791
1524.9591298241487,9145,1532.7959763880183,9192
1585.1530525054543,9506,1589.8218601470248,9534
1589.8218601470248,9534,1594.9909018780934,9565
1727.0533830362365,10357,1731.555578527569,10384
1760.9033371243202,10560,1768.5738071732792,10606
2200.8147288609835,13198,2207.4855878906424,13238
2609.7718884084284,15650,2618.7791290440923,15704
