Lower Bound,LowerIndex,Upper Bound,UpperIndex
46.017900112016946,275,47.01799211970977,281
58.3525452854769,349,60.35279401311268,361
72.02110833736675,431,73.68803751970391,441
74.18811758474757,444,75.85505549111998,454
76.52183252650997,458,77.68869490733553,465
80.18912527112685,480,81.68939064795782,489
83.85645007418381,502,85.6901244202947,513
86.5236153800757,518,88.35730123859476,529
91.69129568547349,549,92.52479834400924,554
92.52479834400924,554,93.35830261546131,559
94.02510719197053,563,95.02531598549417,569
97.52584806478941,584,99.02617420988592,593
120.69811811101962,723,122.69865764103045,735
122.69865764103045,735,123.69893066529288,741
128.36690000530658,769,130.03404324773985,779
143.37140067018763,859,144.37171744127838,865
184.71949147093673,1107,186.72028899091092,1119
237.90976315573815,1426,239.5772465222257,1436
243.41247493197565,1459,245.9137232619919,1474
275.4291651887623,1651,276.9299841221131,1660
293.9394810070066,1762,296.1073858168708,1775
301.7773194501287,1809,303.77848230076654,1821
337.6322202380098,2024,339.13315526630754,2033
342.8021178024705,2055,345.3036914061664,2070
350.97394917894104,2104,353.1419976701903,2117
354.47618372847944,2125,356.9777874094343,2140
382.66126442570953,2294,384.6625994006757,2306
410.0131255344154,2458,411.8477222320238,2469
442.8694263605577,2655,445.20441716724423,2669
508.7504662197527,3050,513.0869909953378,3076
581.3041227887245,3485,584.4731314434002,3504
607.9904551972396,3645,610.8258686699879,3662
659.3610349129674,3953,663.6974590449938,3979
776.9400225102934,4658,780.6089495460494,4680
865.4898299647383,5189,868.8248230493097,5209
909.8437519886353,5455,912.6782869854553,5472
962.030137273142,5768,966.0314291683278,5792
967.3651858254975,5800,970.5328431406049,5819
1003.5418942799399,6017,1006.5425984266108,6035
1084.3866873195116,6502,1087.3867952863293,6520
1088.0534826884139,6524,1091.3869018541618,6544
1110.0534917783373,6656,1113.720030463075,6678
1118.7197952037602,6708,1121.0529946080142,6722
1122.0529324837269,6728,1123.8861445352243,6739
1210.535595608117,7259,1215.0340556410965,7286
1232.1942281514548,7389,1235.1929912400356,7407
1236.525764988997,7415,1239.6910782698087,7434
1272.6748957757075,7632,1275.6732329908957,7650
1297.6600365560723,7782,1300.8246565705913,7801
1375.2653390478192,8248,1379.761045554025,8275
1405.4016080117894,8429,1409.8967441443779,8456
1456.674216871054,8737,1463.3321370987744,8777
1507.6020834155483,9043,1510.431050957025,9060
1524.2425141901238,9143,1532.5622244213462,9193
1584.9684477500264,9508,1589.6260999256035,9536
1589.6260999256035,9536,1594.2836390255475,9564
1724.6467538083489,10348,1731.6277626684127,10390
1760.7121646199666,10565,1767.026958576195,10603
1843.9477517427736,11066,1848.266156539546,11092
2198.2784259032724,13202,2202.9167539940922,13230
2603.0644227039525,15650,2610.655338942766,15696
